"","id"
"5703334",1.093974e+18
"5703335",1.135581e+18
"5703336",1.094265e+18
"5703338",1.095446e+18
"5703340",1.094007e+18
"5703341",1.126472e+18
"5703342",1.194678e+18
"5703344",1.134053e+18
"5703346",1.116377e+18
"5703347",1.116479e+18
"5703348",1.094286e+18
"5703349",1.094246e+18
"5703350",1.100659e+18
"5703376",1.100769e+18
"5703402",1.196352e+18
"5703428",1.196444e+18
"5703430",1.154036e+18
"5703431",1.0942e+18
"5703432",1.154511e+18
"5703433",1.122845e+18
"5703434",1.13395e+18
"5703435",1.137763e+18
"5703437",1.115598e+18
"5703438",1.08731e+18
"5703439",1.118869e+18
"5703440",1.142073e+18
"5703441",1.095312e+18
"5703442",1.093182e+18
"5703443",1.094868e+18
"5703444",1.116582e+18
"5703445",1.093843e+18
"5703446",1.154345e+18
"5703447",1.116756e+18
"5703448",1.182698e+18
"5703449",1.18189e+18
"5703450",1.109816e+18
"5703451",1.109626e+18
"5703452",1.095192e+18
"5703453",1.116698e+18
"5703454",1.132695e+18
"5703460",1.084177e+18
"5703461",1.185188e+18
"5703462",1.185189e+18
"5703463",1.088523e+18
"5703464",1.082036e+18
"5703465",1.129343e+18
"5703466",1.110629e+18
"5703467",1.0936e+18
"5703468",1.117132e+18
"5703469",1.098029e+18
"5703470",1.082362e+18
"5703471",1.198084e+18
"5703472",1.094219e+18
"5703473",1.116519e+18
"5703474",1.116555e+18
"5703475",1.197565e+18
"5703476",1.091457e+18
"5703478",1.134353e+18
"5703480",1.094253e+18
"5703481",1.170819e+18
"5703482",1.113859e+18
"5703483",1.113862e+18
"5703484",1.13153e+18
"5703485",1.106231e+18
"5703486",1.133442e+18
"5703487",1.116836e+18
"5703488",1.116192e+18
"5703489",1.211165e+18
"5703490",1.093336e+18
"5703492",1.138601e+18
"5703494",1.09996e+18
"5703496",1.135888e+18
"5703497",1.095341e+18
"5703498",1.094247e+18
"5703499",1.094099e+18
"5703501",1.150217e+18
"5703503",1.1624e+18
"5703505",1.085548e+18
"5703507",1.187422e+18
"5703511",1.129438e+18
"5703513",1.107639e+18
"5703515",1.104098e+18
"5703516",1.141377e+18
"5703518",1.102307e+18
"5703519",1.093887e+18
"5703520",1.093856e+18
"5703521",1.104057e+18
"5703522",1.093965e+18
"5703524",1.093845e+18
"5703525",1.093918e+18
"5703526",1.202281e+18
"5703527",1.094083e+18
"5703528",1.094331e+18
"5703529",1.103724e+18
"5703530",1.095246e+18
"5703531",1.094297e+18
"5703532",1.093855e+18
"5703533",1.093899e+18
"5703534",1.094248e+18
"5703535",1.093929e+18
"5703536",1.16274e+18
"5703537",1.095121e+18
"5703538",1.093922e+18
"5703539",1.197116e+18
"5703540",1.084258e+18
"5703541",1.091439e+18
"5703542",1.104072e+18
"5703543",1.096181e+18
"5703544",1.155914e+18
"5703545",1.116361e+18
"5703546",1.147888e+18
"5703548",1.092545e+18
"5703550",1.196195e+18
"5703551",1.082358e+18
"5703552",1.093894e+18
"5703553",1.209313e+18
"5703554",1.0939e+18
"5703558",1.09453e+18
"5703560",1.132364e+18
"5703563",1.132521e+18
"5703566",1.1327e+18
"5703569",1.132853e+18
"5703572",1.1321e+18
"5703575",1.131968e+18
"5703578",1.094401e+18
"5703581",1.131904e+18
"5703584",1.137312e+18
"5703585",1.141058e+18
"5703586",1.137911e+18
"5703587",1.095129e+18
"5703588",1.12837e+18
"5703589",1.177956e+18
"5703590",1.143613e+18
"5703593",1.093985e+18
"5703599",1.169135e+18
"5703600",1.138969e+18
"5703601",1.134255e+18
"5703602",1.211669e+18
"5703603",1.116687e+18
"5703605",1.083181e+18
"5703606",1.095263e+18
"5703607",1.153807e+18
"5703608",1.091395e+18
"5703609",1.154078e+18
"5703610",1.10373e+18
"5703617",1.153846e+18
"5703618",1.153991e+18
"5703619",1.178757e+18
"5703620",1.154583e+18
"5703622",1.131969e+18
"5703623",1.132416e+18
"5703624",1.09437e+18
"5703627",1.094491e+18
"5703630",1.132013e+18
"5703633",1.132117e+18
"5703636",1.094626e+18
"5703639",1.094346e+18
"5703642",1.094393e+18
"5703648",1.091449e+18
"5703649",1.098193e+18
"5703650",1.150539e+18
"5703651",1.141732e+18
"5703652",1.094178e+18
"5703653",1.185618e+18
"5703654",1.132142e+18
"5703665",1.091444e+18
"5703676",1.091474e+18
"5703687",1.094351e+18
"5703698",1.094276e+18
"5703709",1.131946e+18
"5703720",1.094308e+18
"5703731",1.196216e+18
"5703742",1.104415e+18
"5703753",1.091553e+18
"5703764",1.094622e+18
"5703775",1.100736e+18
"5703786",1.196297e+18
"5703797",1.091519e+18
"5703808",1.094255e+18
"5703819",1.100505e+18
"5703830",1.104588e+18
"5703841",1.094641e+18
"5703852",1.200421e+18
"5703854",1.08312e+18
"5703855",1.094173e+18
"5703856",1.093751e+18
"5703857",1.146784e+18
"5703860",1.198959e+18
"5703863",1.101078e+18
"5703866",1.093953e+18
"5703867",1.207372e+18
"5703868",1.094943e+18
"5703869",1.093944e+18
"5703870",1.094414e+18
"5703871",1.083395e+18
"5703872",1.095705e+18
"5703873",1.100081e+18
"5703874",1.137398e+18
"5703875",1.116472e+18
"5703876",1.116335e+18
"5703877",1.128889e+18
"5703878",1.098216e+18
"5703879",1.129026e+18
"5703881",1.110686e+18
"5703883",1.158364e+18
"5703887",1.129627e+18
"5703889",1.154376e+18
"5703891",1.095832e+18
"5703893",1.169239e+18
"5703895",1.164687e+18
"5703897",1.173289e+18
"5703899",1.11941e+18
"5703901",1.133166e+18
"5703903",1.100584e+18
"5703905",1.083953e+18
"5703907",1.155992e+18
"5703909",1.092067e+18
"5703911",1.163993e+18
"5703912",1.09487e+18
"5703913",1.201411e+18
"5703914",1.094931e+18
"5703928",1.100274e+18
"5703942",1.187874e+18
"5703956",1.187817e+18
"5703970",1.099997e+18
"5704012",1.091417e+18
"5704026",1.126657e+18
"5704027",1.09317e+18
"5704028",1.134482e+18
"5704029",1.153787e+18
"5704030",1.091566e+18
"5704031",1.202634e+18
"5704032",1.091429e+18
"5704033",1.153821e+18
"5704034",1.171318e+18
"5704036",1.091448e+18
"5704038",1.191105e+18
"5704040",1.097914e+18
"5704042",1.114392e+18
"5704043",1.104097e+18
"5704044",1.197775e+18
"5704054",1.123739e+18
"5704055",1.116483e+18
"5704056",1.09413e+18
"5704057",1.094528e+18
"5704058",1.121259e+18
"5704065",1.15198e+18
"5704066",1.184327e+18
"5704067",1.11649e+18
"5704068",1.155101e+18
"5704069",1.090658e+18
"5704070",1.134189e+18
"5704071",1.134172e+18
"5704072",1.079921e+18
"5704073",1.154268e+18
"5704074",1.105195e+18
"5704075",1.138545e+18
"5704092",1.184263e+18
"5704109",1.094112e+18
"5704126",1.11388e+18
"5704143",1.164626e+18
"5704160",1.116476e+18
"5704161",1.154188e+18
"5704162",1.092549e+18
"5704164",1.147929e+18
"5704165",1.093926e+18
"5704166",1.131661e+18
"5704175",1.132044e+18
"5704184",1.131231e+18
"5704193",1.08479e+18
"5704202",1.091372e+18
"5704203",1.091398e+18
"5704205",1.197888e+18
"5704206",1.093958e+18
"5704207",1.134154e+18
"5704208",1.128191e+18
"5704209",1.137126e+18
"5704210",1.092827e+18
"5704211",1.150291e+18
"5704212",1.182838e+18
"5704213",1.116181e+18
"5704214",1.116646e+18
"5704215",1.162118e+18
"5704216",1.203011e+18
"5704217",1.145819e+18
"5704219",1.202903e+18
"5704220",1.1602e+18
"5704221",1.091479e+18
"5704222",1.135683e+18
"5704223",1.199487e+18
"5704224",1.095748e+18
"5704225",1.157461e+18
"5704226",1.082139e+18
"5704227",1.093185e+18
"5704228",1.093164e+18
"5704229",1.100408e+18
"5704230",1.088074e+18
"5704231",1.093013e+18
"5704233",1.08108e+18
"5704234",1.093089e+18
"5704235",1.096268e+18
"5704236",1.196174e+18
"5704237",1.093156e+18
"5704238",1.161077e+18
"5704239",1.091358e+18
"5704242",1.104068e+18
"5704243",1.188366e+18
"5704244",1.153836e+18
"5704245",1.093244e+18
"5704246",1.134094e+18
"5704247",1.091397e+18
"5704249",1.093937e+18
"5704250",1.170094e+18
"5704251",1.093032e+18
"5704253",1.116371e+18
"5704254",1.11711e+18
"5704255",1.089224e+18
"5704256",1.089625e+18
"5704257",1.101857e+18
"5704258",1.093079e+18
"5704259",1.094231e+18
"5704260",1.118499e+18
"5704261",1.118524e+18
"5704262",1.094266e+18
"5704263",1.093701e+18
"5704264",1.153923e+18
"5704265",1.091346e+18
"5704266",1.093132e+18
"5704267",1.091415e+18
"5704268",1.211967e+18
"5704269",1.197596e+18
"5704270",1.138922e+18
"5704273",1.138238e+18
"5704276",1.211724e+18
"5704279",1.138485e+18
"5704285",1.116793e+18
"5704288",1.116792e+18
"5704291",1.184374e+18
"5704292",1.137105e+18
"5704295",1.121543e+18
"5704296",1.093892e+18
"5704297",1.122565e+18
"5704298",1.094256e+18
"5704299",1.143308e+18
"5704300",1.085769e+18
"5704301",1.155927e+18
"5704302",1.206414e+18
"5704303",1.08523e+18
"5704304",1.162091e+18
"5704305",1.161724e+18
"5704306",1.116543e+18
"5704307",1.097658e+18
"5704308",1.091503e+18
"5704310",1.082472e+18
"5704312",1.13657e+18
"5704314",1.088278e+18
"5704315",1.088273e+18
"5704316",1.089214e+18
"5704317",1.081306e+18
"5704318",1.203507e+18
"5704319",1.153793e+18
"5704320",1.121505e+18
"5704321",1.102974e+18
"5704322",1.187261e+18
"5704323",1.100787e+18
"5704324",1.204e+18
"5704325",1.147889e+18
"5704326",1.14797e+18
"5704327",1.19466e+18
"5704328",1.164852e+18
"5704329",1.208952e+18
"5704330",1.209685e+18
"5704331",1.151041e+18
"5704334",1.104002e+18
"5704337",1.147938e+18
"5704340",1.093972e+18
"5704341",1.093969e+18
"5704342",1.09209e+18
"5704344",1.168768e+18
"5704346",1.134057e+18
"5704347",1.164942e+18
"5704348",1.080023e+18
"5704349",1.080026e+18
"5704350",1.137195e+18
"5704351",1.153886e+18
"5704353",1.155616e+18
"5704355",1.104154e+18
"5704357",1.154804e+18
"5704359",1.105241e+18
"5704361",1.16904e+18
"5704363",1.154412e+18
"5704365",1.153861e+18
"5704367",1.097338e+18
"5704369",1.091447e+18
"5704370",1.092022e+18
"5704372",1.116727e+18
"5704373",1.113466e+18
"5704375",1.095884e+18
"5704377",1.144226e+18
"5704379",1.093741e+18
"5704381",1.209143e+18
"5704383",1.085882e+18
"5704385",1.141382e+18
"5704387",1.126694e+18
"5704389",1.105851e+18
"5704391",1.128277e+18
"5704392",1.093928e+18
"5704393",1.093112e+18
"5704395",1.151127e+18
"5704397",1.13224e+18
"5704399",1.154167e+18
"5704400",1.095322e+18
"5704402",1.093903e+18
"5704408",1.093924e+18
"5704410",1.0932e+18
"5704414",1.092001e+18
"5704416",1.094964e+18
"5704418",1.09426e+18
"5704422",1.09566e+18
"5704424",1.091643e+18
"5704426",1.154098e+18
"5704427",1.094141e+18
"5704428",1.094196e+18
"5704429",1.184493e+18
"5704431",1.094284e+18
"5704433",1.116489e+18
"5704434",1.116214e+18
"5704435",1.116545e+18
"5704439",1.131265e+18
"5704442",1.131243e+18
"5704445",1.131153e+18
"5704448",1.177912e+18
"5704451",1.204516e+18
"5704454",1.128249e+18
"5704457",1.116747e+18
"5704463",1.154518e+18
"5704464",1.134581e+18
"5704465",1.134648e+18
"5704466",1.134922e+18
"5704467",1.134522e+18
"5704468",1.198665e+18
"5704469",1.10376e+18
"5704470",1.082489e+18
"5704471",1.08189e+18
"5704472",1.094026e+18
"5704473",1.103039e+18
"5704475",1.153993e+18
"5704476",1.145027e+18
"5704477",1.15396e+18
"5704478",1.193172e+18
"5704479",1.093966e+18
"5704481",1.132588e+18
"5704483",1.081134e+18
"5704484",1.148326e+18
"5704485",1.20674e+18
"5704489",1.1163e+18
"5704493",1.137877e+18
"5704501",1.116534e+18
"5704505",1.116535e+18
"5704509",1.169341e+18
"5704513",1.116216e+18
"5704517",1.128413e+18
"5704521",1.111434e+18
"5704525",1.107935e+18
"5704529",1.12841e+18
"5704533",1.178033e+18
"5704537",1.139634e+18
"5704541",1.182654e+18
"5704545",1.116488e+18
"5704549",1.171259e+18
"5704553",1.125768e+18
"5704554",1.12663e+18
"5704555",1.093378e+18
"5704556",1.093222e+18
"5704557",1.15699e+18
"5704558",1.093935e+18
"5704559",1.080299e+18
"5704560",1.0803e+18
"5704561",1.12014e+18
"5704562",1.122321e+18
"5704563",1.086829e+18
"5704564",1.204481e+18
"5704592",1.186279e+18
"5704620",1.104319e+18
"5704648",1.115389e+18
"5704676",1.204487e+18
"5704732",1.204486e+18
"5704788",1.093359e+18
"5704816",1.103641e+18
"5704844",1.186253e+18
"5704872",1.103793e+18
"5704900",1.186541e+18
"5704928",1.093177e+18
"5704956",1.109228e+18
"5704984",1.204388e+18
"5705012",1.186256e+18
"5705040",1.110059e+18
"5705124",1.205638e+18
"5705152",1.20448e+18
"5705180",1.140922e+18
"5705236",1.09394e+18
"5705237",1.09389e+18
"5705238",1.194999e+18
"5705239",1.197909e+18
"5705240",1.188324e+18
"5705241",1.093276e+18
"5705243",1.116485e+18
"5705244",1.128415e+18
"5705245",1.172447e+18
"5705246",1.152588e+18
"5705247",1.153782e+18
"5705248",1.104137e+18
"5705249",1.105215e+18
"5705250",1.105224e+18
"5705251",1.116481e+18
"5705252",1.113615e+18
"5705253",1.094193e+18
"5705254",1.091477e+18
"5705256",1.124077e+18
"5705258",1.172431e+18
"5705259",1.116263e+18
"5705260",1.116649e+18
"5705261",1.091615e+18
"5705268",1.091515e+18
"5705275",1.13725e+18
"5705282",1.138665e+18
"5705289",1.160269e+18
"5705290",1.14463e+18
"5705291",1.119601e+18
"5705360",1.123727e+18
"5705361",1.128825e+18
"5705362",1.093173e+18
"5705364",1.172255e+18
"5705366",1.093951e+18
"5705368",1.154805e+18
"5705370",1.149446e+18
"5705371",1.116478e+18
"5705372",1.128227e+18
"5705373",1.092631e+18
"5705376",1.116201e+18
"5705377",1.167032e+18
"5705378",1.093196e+18
"5705379",1.116428e+18
"5705380",1.1807e+18
"5705381",1.11909e+18
"5705382",1.117461e+18
"5705383",1.154846e+18
"5705384",1.117296e+18
"5705385",1.110521e+18
"5705386",1.116349e+18
"5705387",1.11647e+18
"5705389",1.116471e+18
"5705390",1.105761e+18
"5705391",1.099612e+18
"5705392",1.094223e+18
"5705394",1.098309e+18
"5705395",1.137198e+18
"5705396",1.137203e+18
"5705397",1.193646e+18
"5705398",1.100666e+18
"5705399",1.116453e+18
"5705400",1.107095e+18
"5705401",1.163551e+18
"5705402",1.139062e+18
"5705403",1.197343e+18
"5705404",1.19764e+18
"5705405",1.141296e+18
"5705406",1.207125e+18
"5705409",1.093902e+18
"5705410",1.121915e+18
"5705411",1.196903e+18
"5705412",1.204431e+18
"5705413",1.116163e+18
"5705416",1.094146e+18
"5705417",1.18427e+18
"5705420",1.168358e+18
"5705423",1.189986e+18
"5705426",1.185086e+18
"5705427",1.101018e+18
"5705428",1.155538e+18
"5705430",1.120871e+18
"5705432",1.082449e+18
"5705434",1.09153e+18
"5705436",1.093148e+18
"5705437",1.106304e+18
"5705438",1.094349e+18
"5705439",1.094552e+18
"5705440",1.177452e+18
"5705448",1.095041e+18
"5705455",1.095278e+18
"5705462",1.093111e+18
"5705469",1.093897e+18
"5705483",1.093898e+18
"5705490",1.193447e+18
"5705491",1.094204e+18
"5705492",1.093595e+18
"5705493",1.097547e+18
"5705494",1.097204e+18
"5705495",1.095026e+18
"5705496",1.091712e+18
"5705497",1.094288e+18
"5705498",1.093113e+18
"5705499",1.155244e+18
"5705500",1.116684e+18
"5705501",1.137108e+18
"5705503",1.137136e+18
"5705505",1.1371e+18
"5705507",1.156621e+18
"5705508",1.116312e+18
"5705509",1.116184e+18
"5705511",1.127238e+18
"5705513",1.153875e+18
"5705514",1.169055e+18
"5705516",1.085497e+18
"5705518",1.116817e+18
"5705519",1.100379e+18
"5705520",1.092768e+18
"5705522",1.086777e+18
"5705523",1.13881e+18
"5705524",1.153674e+18
"5705525",1.129076e+18
"5705526",1.166731e+18
"5705527",1.166175e+18
"5705528",1.173604e+18
"5705529",1.116531e+18
"5705530",1.093236e+18
"5705531",1.094181e+18
"5705532",1.089645e+18
"5705533",1.104473e+18
"5705534",1.094324e+18
"5705536",1.093844e+18
"5705538",1.087391e+18
"5705539",1.140727e+18
"5705540",1.197891e+18
"5705541",1.123483e+18
"5705542",1.141758e+18
"5705543",1.082318e+18
"5705549",1.112851e+18
"5705551",1.134181e+18
"5705552",1.116185e+18
"5705553",1.084974e+18
"5705555",1.088179e+18
"5705556",1.091008e+18
"5705557",1.128389e+18
"5705558",1.117152e+18
"5705559",1.166828e+18
"5705560",1.171389e+18
"5705561",1.142976e+18
"5705562",1.116627e+18
"5705563",1.132339e+18
"5705567",1.189295e+18
"5705571",1.106884e+18
"5705575",1.202419e+18
"5705579",1.168796e+18
"5705583",1.121433e+18
"5705587",1.091371e+18
"5705591",1.201845e+18
"5705592",1.206122e+18
"5705593",1.09423e+18
"5705594",1.091386e+18
"5705595",1.201058e+18
"5705596",1.10174e+18
"5705597",1.154069e+18
"5705598",1.138103e+18
"5705599",1.15491e+18
"5705600",1.116284e+18
"5705601",1.095093e+18
"5705602",1.116542e+18
