"","id"
"690467",7.783317e+17
"690468",6.89464e+17
"690469",7.554478e+17
"690471",7.781261e+17
"690473",7.537023e+17
"690475",7.404503e+17
"690477",6.899006e+17
"690479",7.865185e+17
"690481",7.374738e+17
"690483",7.687466e+17
"690485",7.865186e+17
"690487",7.732072e+17
"690489",7.137127e+17
"690491",7.404502e+17
"690493",7.37405e+17
"690497",7.603747e+17
"690499",8.0469e+17
"690505",7.140267e+17
"690506",7.486881e+17
"690507",7.113944e+17
"690508",7.664114e+17
"690509",6.831932e+17
"690510",6.959058e+17
"690511",7.317672e+17
"690512",6.940668e+17
"690513",7.663771e+17
"690514",6.938708e+17
"690515",7.175083e+17
"690516",7.174473e+17
"690517",7.175681e+17
"690518",7.905961e+17
"690519",6.957081e+17
"690520",7.173881e+17
"690521",7.907866e+17
"690522",6.960199e+17
"690523",6.957082e+17
"690524",7.906915e+17
"690525",7.90958e+17
"690526",7.326125e+17
"690527",7.245401e+17
"690528",7.004093e+17
"690529",7.531892e+17
"690530",7.22426e+17
"690538",7.144446e+17
"690546",7.347626e+17
"690554",7.736986e+17
"690555",7.292005e+17
"690556",7.114575e+17
"690560",7.562949e+17
"690564",7.610891e+17
"690568",7.608701e+17
"690572",6.991408e+17
"690576",7.226919e+17
"690580",6.959066e+17
"690588",6.995113e+17
"690596",8.048363e+17
"690600",7.736236e+17
"690602",7.761601e+17
"690639",7.076364e+17
"690676",7.458783e+17
"690713",7.240418e+17
"690750",8.085926e+17
"690787",6.958755e+17
"690824",7.761607e+17
"690861",7.762263e+17
"690898",7.556738e+17
"690935",7.561366e+17
"690972",7.522854e+17
"691009",7.458722e+17
"691046",8.084895e+17
"691083",7.240504e+17
"691093",7.762361e+17
"691103",7.538746e+17
"691113",7.539193e+17
"691123",6.959184e+17
"691133",7.52282e+17
"691143",8.086573e+17
"691145",8.085893e+17
"691147",7.058218e+17
"691148",7.398568e+17
"691149",7.379537e+17
"691153",7.375798e+17
"691157",6.955518e+17
"691161",6.840774e+17
"691162",6.959319e+17
"691163",7.122719e+17
"691164",7.687206e+17
"691165",7.117075e+17
"691166",7.115801e+17
"691167",7.697249e+17
"691168",6.954048e+17
"691169",6.991759e+17
"691170",7.32978e+17
"691171",7.581325e+17
"691172",7.701015e+17
"691188",7.789332e+17
"691204",8.005184e+17
"691220",7.388664e+17
"691236",7.7349e+17
"691268",8.115366e+17
"691284",7.02251e+17
"691292",7.141045e+17
"691300",7.024252e+17
"691308",6.960214e+17
"691316",7.391639e+17
"691317",7.391132e+17
"691318",7.075602e+17
"691319",6.95914e+17
"691320",7.53813e+17
"691324",7.32469e+17
"691328",8.058236e+17
"691332",7.411799e+17
"691336",7.324556e+17
"691340",7.324154e+17
"691344",7.409748e+17
"691348",7.537598e+17
"691352",6.961933e+17
"691353",7.658715e+17
"691370",7.762132e+17
"691387",8.04702e+17
"691404",7.374647e+17
"691421",7.560928e+17
"691438",7.585303e+17
"691455",8.050849e+17
"691472",7.603745e+17
"691489",8.046899e+17
"691506",8.089457e+17
"691523",6.991741e+17
"691540",7.231532e+17
"691557",7.556493e+17
"691574",7.589742e+17
"691591",7.659235e+17
"691608",8.026652e+17
"691625",7.615657e+17
"691642",7.598995e+17
"691659",7.568904e+17
"691676",7.738689e+17
"691693",7.473694e+17
"691710",7.020718e+17
"691711",7.760127e+17
"691713",7.761675e+17
"691715",6.958895e+17
"691716",7.378734e+17
"691717",7.59778e+17
"691718",7.068268e+17
"691719",7.302914e+17
"691720",8.085798e+17
"691721",7.078312e+17
"691722",7.371623e+17
"691723",7.390807e+17
"691724",7.45308e+17
"691725",7.224229e+17
"691726",7.224182e+17
"691727",7.2242e+17
"691728",6.954863e+17
"691736",8.085169e+17
"691738",8.118399e+17
"691740",7.377973e+17
"691742",7.37816e+17
"691744",7.481937e+17
"691746",7.141351e+17
"691747",6.960007e+17
"691748",6.854933e+17
"691749",7.868126e+17
"691751",7.573726e+17
"691753",7.721128e+17
"691754",6.955736e+17
"691755",6.960049e+17
"691756",7.586218e+17
"691757",7.7205e+17
"691758",7.763477e+17
"691759",7.720477e+17
"691760",6.955672e+17
"691761",7.381758e+17
"691762",7.40448e+17
"691764",6.978483e+17
"691765",7.020646e+17
"691766",8.085845e+17
"691767",7.388496e+17
"691768",7.440742e+17
"691769",7.371319e+17
"691770",6.954185e+17
"691771",7.78832e+17
"691772",8.047298e+17
"691773",7.141163e+17
"691779",7.144253e+17
"691785",7.141993e+17
"691791",7.863075e+17
"691796",6.954532e+17
"691801",7.699586e+17
"691806",8.054252e+17
"691811",7.322047e+17
"691816",7.020533e+17
"691821",6.963308e+17
"691827",7.032917e+17
"691833",7.48242e+17
"691839",7.409386e+17
"691845",6.976617e+17
"691851",6.917536e+17
"691857",7.444969e+17
"691863",7.386901e+17
"691869",8.100997e+17
"691875",7.490816e+17
"691881",6.91628e+17
"691887",8.037681e+17
"691893",6.860069e+17
"691899",7.083707e+17
"691905",7.676991e+17
"691911",6.916268e+17
"691917",7.604723e+17
"691923",7.779964e+17
"691929",7.156563e+17
"691935",7.702835e+17
"691941",7.60652e+17
"691962",8.071797e+17
"691977",6.959371e+17
"692007",8.070534e+17
"692022",6.845727e+17
"692023",7.07639e+17
"692024",7.593527e+17
"692025",6.877955e+17
"692026",7.613092e+17
"692028",7.613091e+17
"692029",7.684397e+17
"692032",7.628586e+17
"692033",7.329268e+17
"692034",7.32927e+17
"692035",7.241488e+17
"692036",7.734448e+17
"692041",7.7324e+17
"692046",7.134048e+17
"692047",7.148618e+17
"692048",7.607665e+17
"692049",7.090194e+17
"692050",7.134146e+17
"692051",7.372096e+17
"692052",7.134497e+17
"692053",7.097023e+17
"692054",7.14517e+17
"692055",7.129012e+17
"692056",6.971738e+17
"692057",7.210941e+17
"692058",7.589864e+17
"692059",7.126611e+17
"692060",7.130308e+17
"692061",7.124197e+17
"692062",6.970158e+17
"692063",7.365295e+17
"692064",8.082736e+17
"692065",7.210928e+17
"692066",7.365292e+17
"692067",7.206128e+17
"692068",7.109353e+17
"692069",7.130294e+17
"692070",7.145183e+17
"692071",8.039171e+17
"692072",7.250949e+17
"692073",8.023424e+17
"692079",8.022841e+17
"692085",8.026902e+17
"692091",7.752422e+17
"692097",8.024141e+17
"692103",7.020427e+17
"692109",7.607094e+17
"692110",7.029336e+17
"692120",7.735892e+17
"692130",7.384296e+17
"692140",7.660054e+17
"692150",7.790116e+17
"692160",7.217123e+17
"692170",7.662873e+17
"692180",7.026303e+17
"692190",7.736496e+17
"692200",7.662936e+17
"692210",7.738534e+17
"692220",7.384262e+17
"692230",7.56992e+17
"692231",7.478544e+17
"692232",7.362412e+17
"692233",7.072215e+17
"692234",7.197487e+17
"692235",8.08268e+17
"692236",6.903901e+17
"692237",7.191609e+17
"692238",7.10859e+17
"692239",8.052832e+17
"692240",6.961261e+17
"692241",8.094523e+17
"692242",7.53704e+17
"692243",6.879318e+17
"692244",7.734488e+17
"692245",7.605386e+17
"692247",7.022554e+17
"692249",7.8666e+17
"692251",8.069949e+17
"692253",6.959446e+17
"692255",8.068979e+17
"692257",7.682012e+17
"692259",7.741856e+17
"692260",7.041185e+17
"692261",7.323905e+17
"692263",7.376893e+17
"692265",7.872569e+17
"692266",7.255595e+17
"692267",7.452648e+17
"692268",6.954899e+17
"692269",7.308184e+17
"692270",6.96861e+17
"692271",8.014353e+17
"692272",8.068458e+17
"692273",7.186721e+17
"692274",7.310995e+17
"692275",7.271391e+17
"692276",7.132433e+17
"692277",7.86828e+17
"692278",7.988904e+17
"692279",7.445137e+17
"692280",7.322028e+17
"692281",7.190374e+17
"692282",7.539556e+17
"692283",7.406595e+17
"692284",7.630045e+17
"692285",6.960804e+17
"692286",6.959897e+17
"692287",6.960351e+17
"692288",7.024756e+17
"692289",7.293677e+17
"692290",7.380902e+17
"692291",7.282937e+17
"692292",8.022417e+17
"692293",8.113623e+17
"692294",7.347668e+17
"692295",7.355309e+17
"692309",7.051164e+17
"692323",6.959401e+17
"692337",7.888925e+17
"692351",7.363614e+17
"692365",7.362869e+17
"692379",8.065061e+17
"692393",7.374485e+17
"692407",7.479427e+17
"692421",6.960986e+17
"692435",7.49196e+17
"692449",7.362653e+17
"692463",7.86145e+17
"692477",8.118513e+17
"692491",7.357347e+17
"692505",6.961816e+17
"692519",8.061815e+17
"692533",7.198988e+17
"692547",7.35395e+17
"692561",7.858452e+17
"692575",8.074197e+17
"692589",7.360745e+17
"692603",6.965517e+17
"692617",7.092767e+17
"692631",7.027999e+17
"692645",7.04728e+17
"692659",7.09892e+17
"692673",7.495948e+17
"692687",7.486826e+17
"692701",7.583236e+17
"692715",7.207334e+17
"692729",7.857831e+17
"692743",7.859029e+17
"692757",7.356215e+17
"692771",6.92369e+17
"692785",8.06257e+17
"692799",7.860613e+17
"692813",7.364671e+17
"692827",7.357905e+17
"692841",7.078233e+17
"692855",7.198274e+17
"692869",7.40408e+17
"692883",8.075895e+17
"692897",6.960457e+17
"692911",7.384678e+17
"692925",7.053514e+17
"692939",8.066345e+17
"692953",7.208693e+17
"692967",7.084126e+17
